Project_ID,Project_Type,Risk_Level,Schedule_Delay,Cost_Overrun,Delayed_Project,Over_Budget_Project,CPI_Cumulative,SPI_Cumulative,Planned_Budget,Actual_Cost,EAC,VAC,Forecast_Overrun_Percent
PROJ_0001,Construction,High,2,227083.4292889675,True,True,0.8704867044010804,1.0,1526276.55,1753359.9792889676,1753359.9792889676,-227083.4292889675,14.878262349570104
PROJ_0002,Manufacturing,Low,1,51583.12283737084,True,True,0.8833945764704138,1.0000000000000002,390790.15,442373.27283737087,442373.27283737087,-51583.12283737084,13.199698824898947
PROJ_0003,Manufacturing,Medium,1,-11450.20505171435,True,False,1.0486777626350774,1.0,246674.76,235224.5549482857,235224.55494828563,11450.20505171438,-4.641822718998238
PROJ_0004,IT,High,5,151682.46566380956,True,True,0.9039688457916438,1.0000000000000002,1427830.63,1579513.0956638097,1579513.0956638092,-151682.46566380933,10.623281394643378
PROJ_0005,Construction,High,2,144014.49768867227,True,True,0.9217636146591504,1.0000000000000002,1696746.64,1840761.137688672,1840761.1376886717,-144014.4976886718,8.487684271393153
PROJ_0006,IT,Medium,0,61430.112103668274,False,True,0.9474006354236404,1.0000000000000002,1106456.85,1167886.9621036684,1167886.962103668,-61430.11210366781,5.551966360339113
PROJ_0007,R&D,Critical,2,107393.76030814112,True,True,0.9126483968270456,1.0,1122048.59,1229442.3503081412,1229442.3503081412,-107393.76030814112,9.571221894066202
PROJ_0008,Healthcare,Low,0,155752.57516041514,False,True,0.8857977817895838,1.0000000000000002,1208078.86,1363831.4351604152,1363831.435160415,-155752.5751604149,12.89258344942936
PROJ_0009,Construction,Critical,0,74011.1733060102,False,True,0.9611971792837388,0.9999999999999998,1833354.63,1907365.80330601,1907365.8033060106,-74011.17330601066,4.036926195016109
PROJ_0010,Construction,Medium,-5,169325.9019700829,False,True,0.9342122228526264,1.0,2404494.18,2573820.081970083,2573820.081970083,-169325.9019700829,7.0420591315418735
PROJ_0011,Healthcare,Critical,1,94583.39991717972,True,True,0.8643632635836238,1.0,602745.38,697328.7799171797,697328.7799171797,-94583.39991717972,15.692098696331728
PROJ_0012,Construction,High,0,32355.49499801733,False,True,0.9660578274001888,1.0000000000000002,920898.01,953253.5049980172,953253.5049980178,-32355.49499801779,3.5134721377036957
PROJ_0013,IT,Medium,3,77784.30192263075,True,True,0.9372524055978716,1.0000000000000002,1161853.69,1239637.9919226307,1239637.99192263,-77784.30192263005,6.694844849408711
PROJ_0014,Marketing,Critical,-1,-32820.21305616968,False,False,1.0387201083760829,1.0,880447.31,847627.0969438304,847627.0969438305,32820.21305616957,-3.7276748629250243
PROJ_0015,Construction,High,0,65098.633796237526,False,True,0.93096668203547,1.0,877904.48,943003.1137962376,943003.1137962375,-65098.633796237526,7.4152297065664285
PROJ_0016,Construction,High,0,18515.310096238507,False,True,0.9808990616294788,1.0000000000000002,950825.03,969340.3400962384,969340.3400962383,-18515.310096238274,1.9472888819763476
PROJ_0017,IT,Critical,4,58932.04099965177,True,True,0.9318253357668124,0.9999999999999996,805495.26,864427.3009996518,864427.3009996519,-58932.04099965189,7.316249260070368
PROJ_0018,IT,High,2,71509.92432608374,True,True,0.9163611702264218,1.0000000000000002,783474.83,854984.7543260837,854984.7543260838,-71509.92432608386,9.127277812624031
PROJ_0019,IT,Low,-1,51627.95808618225,False,True,0.9208699472012882,0.9999999999999998,600816.42,652444.3780861823,652444.3780861823,-51627.95808618225,8.592967230519806
PROJ_0020,IT,Low,1,135224.25765357004,True,True,0.8794574573134744,0.9999999999999996,986572.7,1121796.95765357,1121796.95765357,-135224.25765357004,13.706466604394185
